  XX        YY
  1.000000  0.000000
  0.999498  0.000084
  0.997994  0.000337
  0.995489  0.000756
  0.991990  0.001339
  0.987504  0.002084
  0.982039  0.002986
  0.975606  0.004041
  0.968218  0.005243
  0.959890  0.006587
  0.950638  0.008065
  0.940482  0.009671
  0.929442  0.011397
  0.917539  0.013235
  0.904797  0.015177
  0.891243  0.017214
  0.876903  0.019338
  0.861806  0.021540
  0.845982  0.023812
  0.829463  0.026143
  0.812283  0.028525
  0.794476  0.030950
  0.776077  0.033407
  0.757123  0.035887
  0.737654  0.038382
  0.717707  0.040881
  0.697322  0.043374
  0.676542  0.045853
  0.655407  0.048306
  0.633960  0.050724
  0.612243  0.053096
  0.590302  0.055412
  0.568179  0.057660
  0.545919  0.059830
  0.523567  0.061911
  0.501167  0.063891
  0.478765  0.065758
  0.456405  0.067503
  0.434133  0.069112
  0.411993  0.070577
  0.390029  0.071886
  0.368286  0.073029
  0.346806  0.073996
  0.325634  0.074780
  0.304812  0.075371
  0.284382  0.075762
  0.264384  0.075948
  0.244858  0.075924
  0.225845  0.075686
  0.207382  0.075230
  0.189414  0.074550
  0.171816  0.073589
  0.154667  0.072273
  0.138055  0.070547
  0.122067  0.068376
  0.106791  0.065744
  0.092309  0.062655
  0.078699  0.059131
  0.066032  0.055211
  0.054370  0.050945
  0.043765  0.046397
  0.034257  0.041637
  0.025879  0.036736
  0.018649  0.031767
  0.012577  0.026802
  0.007664  0.021904
  0.003902  0.017129
  0.001278  0.012522
 -0.000230  0.008119
 -0.000646  0.003942
  0.000000  0.000000
  0.001653 -0.003635
  0.004256 -0.006904
  0.007773 -0.009827
  0.012168 -0.012432
  0.017408 -0.014752
  0.023460 -0.016826
  0.030295 -0.018693
  0.037886 -0.020394
  0.046215 -0.021970
  0.055267 -0.023461
  0.065035 -0.024902
  0.075519 -0.026326
  0.086728 -0.027759
  0.098674 -0.029222
  0.111377 -0.030730
  0.124861 -0.032287
  0.139150 -0.033889
  0.154270 -0.035517
  0.170245 -0.037141
  0.187096 -0.038713
  0.204833 -0.040166
  0.223258 -0.041436
  0.242243 -0.042514
  0.261748 -0.043400
  0.281735 -0.044097
  0.302163 -0.044607
  0.322991 -0.044936
  0.344177 -0.045088
  0.365678 -0.045070
  0.387450 -0.044888
  0.409450 -0.044550
  0.431634 -0.044064
  0.453955 -0.043439
  0.476370 -0.042684
  0.498833 -0.041807
  0.521298 -0.040818
  0.543720 -0.039726
  0.566054 -0.038541
  0.588255 -0.037271
  0.610277 -0.035926
  0.632077 -0.034515
  0.653610 -0.033046
  0.674833 -0.031529
  0.695703 -0.029970
  0.716177 -0.028379
  0.736215 -0.026763
  0.755776 -0.025130
  0.774820 -0.023489
  0.793310 -0.021847
  0.811207 -0.020211
  0.828475 -0.018589
  0.845081 -0.016989
  0.860989 -0.015419
  0.876169 -0.013885
  0.890589 -0.012396
  0.904220 -0.010959
  0.917035 -0.009581
  0.929007 -0.008271
  0.940113 -0.007034
  0.950330 -0.005878
  0.959638 -0.004810
  0.968017 -0.003835
  0.975451 -0.002960
  0.981924 -0.002190
  0.987424 -0.001530
  0.991939 -0.000984
  0.995460 -0.000556
  0.997981 -0.000248
  0.999495 -0.000062
  1.000000  0.000000
